description,amount,category
Ola cab via Debit Card (PhonePe),11571,Travel
Concert ticket via Net Banking (Kotak),8431,Entertainment
Auto fare via UPI (SBI),10558,Travel
FD investment via Net Banking (ICICI),16545,Investment
Credit card bill via UPI (PhonePe),1442,Bills
Electronics purchase via Net Banking (Axis Bank),2726,Shopping
IMPS transfer via UPI (SBI),9039,Transfer
Local market purchase via Credit Card (SBI),18065,Shopping
DTH recharge via Debit Card (Paytm),2413,Bills
Metro ticket via Debit Card (Kotak),8499,Travel
Gas bill via Net Banking (GPay),13457,Bills
Online certification via Credit Card (Kotak),14500,Education
DTH recharge via Credit Card (SBI),3196,Bills
Hospital checkup via UPI (HDFC),16208,Healthcare
Netflix subscription via UPI (Axis Bank),9475,Entertainment
Crypto purchase via UPI (Kotak),17203,Investment
SIP investment via Cash (GPay),16604,Investment
Wallet transfer via Debit Card (HDFC),8136,Transfer
Uber ride via Net Banking (GPay),11684,Travel
Health insurance premium via Credit Card (GPay),13670,Healthcare
Exam fee via Net Banking (SBI),11967,Education
Exam fee via Credit Card (SBI),708,Education
Water bill via Debit Card (GPay),56,Bills
DTH recharge via Debit Card (PhonePe),226,Bills
Course fee via Net Banking (GPay),11822,Education
Wallet transfer via Debit Card (GPay),12866,Transfer
Bank transfer via Cash (HDFC),18246,Transfer
Local market purchase via Cash (Paytm),14785,Shopping
Restaurant dinner via Credit Card (PhonePe),9310,Food
FD investment via Debit Card (Paytm),11356,Investment
Game purchase via Net Banking (GPay),6189,Entertainment
Udemy course via Debit Card (Paytm),1022,Education
Book purchase via Debit Card (ICICI),1658,Education
PPF deposit via UPI (Axis Bank),17661,Investment
Hospital checkup via UPI (Axis Bank),14739,Healthcare
Exam fee via Net Banking (GPay),14983,Education
Pizza order via Debit Card (Axis Bank),9772,Food
Mobile recharge via Cash (Kotak),15865,Bills
Local market purchase via UPI (Axis Bank),14392,Shopping
Local market purchase via UPI (ICICI),15310,Shopping
KFC meal via UPI (GPay),8133,Food
Concert ticket via Credit Card (ICICI),5840,Entertainment
Spotify subscription via Cash (SBI),3460,Entertainment
Crypto purchase via UPI (ICICI),8340,Investment
IMPS transfer via Cash (Axis Bank),16354,Transfer
YouTube Premium via Cash (Axis Bank),3508,Entertainment
Ola cab via UPI (Axis Bank),15921,Travel
Game purchase via Debit Card (GPay),17011,Entertainment
Theme park ticket via Debit Card (Kotak),7245,Entertainment
Rapido ride via Debit Card (SBI),8380,Travel
Mutual fund purchase via UPI (Paytm),14611,Investment
Spotify subscription via Cash (Axis Bank),14064,Entertainment
Supermarket shopping via Credit Card (PhonePe),15901,Shopping
Udemy course via Cash (Kotak),8764,Education
Game purchase via UPI (GPay),14413,Entertainment
Online certification via Credit Card (GPay),244,Education
NEFT transfer via Debit Card (ICICI),14255,Transfer
Myntra order via UPI (Paytm),6973,Shopping
Electronics purchase via Debit Card (ICICI),4509,Shopping
Pharmacy bill via Cash (PhonePe),5327,Healthcare
Theme park ticket via Net Banking (Axis Bank),4617,Entertainment
Crypto purchase via UPI (Kotak),5277,Investment
Book purchase via Cash (ICICI),15002,Education
Udemy course via Debit Card (SBI),8069,Education
Course fee via Net Banking (HDFC),17874,Education
Flight booking via Credit Card (Paytm),9138,Travel
Uber ride via Cash (ICICI),4707,Travel
Game purchase via Debit Card (Kotak),5910,Entertainment
Supermarket shopping via UPI (Kotak),16374,Shopping
Local market purchase via Debit Card (HDFC),11218,Shopping
Spotify subscription via Debit Card (GPay),14838,Entertainment
Electricity bill via Credit Card (GPay),16300,Bills
Game purchase via Cash (ICICI),8025,Entertainment
Electronics purchase via Net Banking (HDFC),2702,Shopping
Doctor visit via Debit Card (Kotak),5896,Healthcare
YouTube Premium via Credit Card (PhonePe),15110,Entertainment
YouTube Premium via Cash (ICICI),8838,Entertainment
Ola cab via Credit Card (ICICI),8445,Travel
Doctor visit via Credit Card (Axis Bank),10268,Healthcare
Netflix subscription via Net Banking (GPay),689,Entertainment
Mobile recharge via Credit Card (PhonePe),19605,Bills
Flipkart order via Cash (HDFC),8661,Shopping
Bakery purchase via Credit Card (PhonePe),2109,Food
Ajio shopping via Credit Card (Axis Bank),11981,Shopping
Electronics purchase via Net Banking (GPay),14486,Shopping
Concert ticket via Net Banking (Axis Bank),1755,Entertainment
Diagnostic test via Debit Card (PhonePe),7438,Healthcare
Supermarket shopping via Net Banking (Axis Bank),4607,Shopping
RTGS transfer via Debit Card (Paytm),12555,Transfer
Bank transfer via Debit Card (Paytm),1846,Transfer
Game purchase via Net Banking (GPay),4845,Entertainment
Flight booking via Cash (Kotak),9148,Travel
SIP investment via Net Banking (PhonePe),3294,Investment
Hospital checkup via Debit Card (Axis Bank),15094,Healthcare
Ajio shopping via Credit Card (PhonePe),10481,Shopping
Amazon shopping via UPI (SBI),1365,Shopping
Course fee via Debit Card (Axis Bank),13488,Education
Petrol pump via UPI (Paytm),18721,Travel
Cafe coffee via UPI (Kotak),4891,Food
Wallet transfer via Credit Card (HDFC),10867,Transfer
Bakery purchase via UPI (HDFC),14217,Food
Dominos order via Debit Card (HDFC),11793,Food
Bakery purchase via UPI (SBI),833,Food
Electronics purchase via Net Banking (SBI),14536,Shopping
Medical store purchase via Debit Card (GPay),9777,Healthcare
Theme park ticket via Net Banking (GPay),5623,Entertainment
Wallet transfer via Cash (Kotak),6939,Transfer
College fee via Cash (Kotak),5608,Education
Course fee via Credit Card (Axis Bank),305,Education
Clothing purchase via Cash (GPay),5753,Shopping
Pharmacy bill via Credit Card (ICICI),19393,Healthcare
Diagnostic test via Net Banking (GPay),7987,Healthcare
SIP investment via UPI (Paytm),7634,Investment
Street food via Cash (ICICI),3864,Food
Amazon shopping via Net Banking (SBI),9832,Shopping
Pharmacy bill via Cash (Kotak),17094,Healthcare
Mobile recharge via Debit Card (PhonePe),2618,Bills
Stock investment via Credit Card (Paytm),15618,Investment
Gas bill via UPI (Axis Bank),15473,Bills
Rapido ride via UPI (Axis Bank),4711,Travel
Grocery shopping via Net Banking (Paytm),4921,Food
Spotify subscription via Cash (Paytm),3662,Entertainment
Internet recharge via Credit Card (PhonePe),18527,Bills
Amazon shopping via Credit Card (HDFC),18437,Shopping
Medical store purchase via Net Banking (Kotak),15745,Healthcare
Flight booking via Net Banking (Paytm),18339,Travel
Mutual fund purchase via Credit Card (ICICI),6737,Investment
Rapido ride via Cash (SBI),6247,Travel
Concert ticket via UPI (Paytm),75,Entertainment
Electricity bill via Cash (Axis Bank),11560,Bills
Coaching class fee via Net Banking (GPay),4784,Education
Clothing purchase via Net Banking (PhonePe),13787,Shopping
Uber ride via Credit Card (Axis Bank),7997,Travel
Ajio shopping via Net Banking (GPay),8664,Shopping
Train ticket via Net Banking (Axis Bank),1465,Travel
Metro ticket via Debit Card (ICICI),18448,Travel
RTGS transfer via UPI (Kotak),17604,Transfer
Metro ticket via UPI (Axis Bank),17406,Travel
Diagnostic test via Debit Card (HDFC),18567,Healthcare
Book purchase via Credit Card (Axis Bank),16914,Education
NEFT transfer via UPI (HDFC),7876,Transfer
Udemy course via Debit Card (ICICI),16798,Education
Exam fee via Debit Card (ICICI),11517,Education
Restaurant dinner via UPI (GPay),1774,Food
Health insurance premium via Net Banking (HDFC),8703,Healthcare
Street food via Net Banking (ICICI),4640,Food
Online certification via Net Banking (GPay),3622,Education
IMPS transfer via Cash (SBI),13369,Transfer
Grocery shopping via Debit Card (PhonePe),9694,Food
Doctor visit via UPI (HDFC),8558,Healthcare
Internet recharge via Credit Card (SBI),15668,Bills
Pharmacy bill via UPI (Axis Bank),14313,Healthcare
Course fee via UPI (ICICI),12951,Education
College fee via Credit Card (Paytm),8898,Education
Myntra order via Net Banking (Paytm),13210,Shopping
Amazon shopping via Credit Card (Axis Bank),10605,Shopping
Movie ticket via UPI (GPay),2376,Entertainment
Water bill via UPI (SBI),6082,Bills
Netflix subscription via Debit Card (Axis Bank),7972,Entertainment
PPF deposit via Net Banking (PhonePe),15518,Investment
Medical store purchase via UPI (PhonePe),17306,Healthcare
Dominos order via Cash (PhonePe),4891,Food
Concert ticket via Credit Card (HDFC),9891,Entertainment
Crypto purchase via Cash (PhonePe),10374,Investment
Book purchase via Debit Card (PhonePe),17027,Education
NEFT transfer via UPI (SBI),8322,Transfer
Book purchase via Credit Card (Paytm),16417,Education
Supermarket shopping via Credit Card (Paytm),18806,Shopping
UPI transfer via Credit Card (SBI),8244,Transfer
Local market purchase via UPI (Kotak),7597,Shopping
Exam fee via UPI (PhonePe),17491,Education
Game purchase via Cash (SBI),18881,Entertainment
UPI transfer via Net Banking (ICICI),6793,Transfer
Metro ticket via Net Banking (PhonePe),13499,Travel
Movie ticket via UPI (Kotak),1346,Entertainment
Course fee via Net Banking (Paytm),18271,Education
Crypto purchase via UPI (PhonePe),9298,Investment
Doctor visit via Credit Card (Axis Bank),10164,Healthcare
Medical store purchase via Debit Card (SBI),16149,Healthcare
Crypto purchase via Net Banking (GPay),14649,Investment
Spotify subscription via Net Banking (PhonePe),4731,Entertainment
Mutual fund purchase via Credit Card (PhonePe),3677,Investment
Flipkart order via Debit Card (ICICI),17510,Shopping
Pizza order via Debit Card (Kotak),9531,Food
Credit card bill via Credit Card (SBI),19534,Bills
Crypto purchase via Credit Card (SBI),8329,Investment
Flight booking via UPI (PhonePe),10643,Travel
Rapido ride via UPI (GPay),4273,Travel
Clothing purchase via UPI (SBI),17996,Shopping
Uber ride via Cash (Kotak),5515,Travel
Pharmacy bill via UPI (ICICI),9081,Healthcare
Cafe coffee via Debit Card (Kotak),12581,Food
Street food via UPI (PhonePe),1911,Food
Netflix subscription via Credit Card (Kotak),15744,Entertainment
Uber ride via Cash (SBI),10508,Travel
Cafe coffee via Cash (Paytm),5276,Food
Grocery shopping via Credit Card (Kotak),3298,Food
Myntra order via Debit Card (PhonePe),12495,Shopping
Hospital checkup via Net Banking (Paytm),18556,Healthcare
Crypto purchase via Net Banking (Kotak),16160,Investment
Bank transfer via Debit Card (Paytm),17748,Transfer
Amazon shopping via Debit Card (SBI),1409,Shopping
Course fee via Cash (SBI),14925,Education
UPI transfer via Credit Card (GPay),3124,Transfer
Mobile recharge via Debit Card (GPay),12428,Bills
NEFT transfer via UPI (Axis Bank),4299,Transfer
Book purchase via Net Banking (GPay),8701,Education
Metro ticket via Credit Card (ICICI),12855,Travel
Internet recharge via Credit Card (GPay),16082,Bills
Stock investment via Cash (Kotak),18054,Investment
Flipkart order via UPI (HDFC),1489,Shopping
NEFT transfer via Cash (PhonePe),19230,Transfer
Credit card bill via UPI (ICICI),9049,Bills
NEFT transfer via Net Banking (HDFC),14116,Transfer
Internet recharge via Cash (Kotak),6364,Bills
Diagnostic test via UPI (SBI),3140,Healthcare
SIP investment via Net Banking (PhonePe),1126,Investment
Concert ticket via Debit Card (Kotak),16645,Entertainment
Coaching class fee via Debit Card (GPay),864,Education
RTGS transfer via Debit Card (Axis Bank),14986,Transfer
Bakery purchase via Cash (Kotak),8999,Food
Theme park ticket via Credit Card (Paytm),9042,Entertainment
Book purchase via Net Banking (Kotak),1808,Education
Broadband bill via Credit Card (Kotak),14347,Bills
Mutual fund purchase via Cash (SBI),7490,Investment
Diagnostic test via Cash (PhonePe),584,Healthcare
Course fee via Cash (PhonePe),19532,Education
Water bill via UPI (Paytm),5253,Bills
Ola cab via Cash (PhonePe),16269,Travel
NEFT transfer via Cash (SBI),16673,Transfer
Ajio shopping via Net Banking (HDFC),16359,Shopping
Game purchase via Debit Card (Axis Bank),9672,Entertainment
Electricity bill via Debit Card (SBI),11796,Bills
NEFT transfer via Net Banking (Kotak),3313,Transfer
Myntra order via Cash (Axis Bank),4919,Shopping
Theme park ticket via Net Banking (HDFC),9356,Entertainment
Bus fare via Cash (ICICI),13197,Travel
Movie ticket via Net Banking (GPay),4549,Entertainment
Concert ticket via Net Banking (Paytm),19030,Entertainment
Mutual fund purchase via UPI (SBI),159,Investment
Street food via Net Banking (Paytm),19756,Food
Mutual fund purchase via Credit Card (HDFC),11161,Investment
UPI transfer via Net Banking (Axis Bank),1262,Transfer
Broadband bill via Net Banking (SBI),16278,Bills
Concert ticket via Cash (SBI),3483,Entertainment
College fee via Credit Card (SBI),6655,Education
RTGS transfer via Cash (PhonePe),9099,Transfer
Bus fare via Cash (Kotak),8922,Travel
IMPS transfer via Debit Card (Axis Bank),10413,Transfer
Theme park ticket via UPI (ICICI),7318,Entertainment
Flipkart order via Credit Card (ICICI),8680,Shopping
Online certification via UPI (Axis Bank),19889,Education
Hospital checkup via Cash (GPay),12772,Healthcare
Restaurant dinner via Credit Card (ICICI),8115,Food
Doctor visit via Cash (Kotak),13882,Healthcare
Diagnostic test via Cash (GPay),7481,Healthcare
Water bill via UPI (Paytm),12968,Bills
Bank transfer via UPI (Kotak),7785,Transfer
Ajio shopping via Net Banking (SBI),7178,Shopping
Netflix subscription via Credit Card (SBI),9427,Entertainment
Gas bill via Net Banking (GPay),15118,Bills
Game purchase via Credit Card (PhonePe),18401,Entertainment
Spotify subscription via Credit Card (GPay),7073,Entertainment
Bus fare via Cash (Kotak),18059,Travel
Uber ride via Cash (HDFC),9492,Travel
Medical store purchase via Debit Card (ICICI),8017,Healthcare
Dominos order via Debit Card (SBI),1298,Food
Udemy course via Cash (SBI),7520,Education
Doctor visit via UPI (HDFC),4901,Healthcare
DTH recharge via Cash (SBI),1618,Bills
DTH recharge via UPI (GPay),19499,Bills
Hospital checkup via Debit Card (HDFC),6994,Healthcare
Clothing purchase via Credit Card (HDFC),5522,Shopping
Diesel refill via Credit Card (GPay),19225,Travel
Pharmacy bill via Credit Card (Axis Bank),13949,Healthcare
Movie ticket via UPI (GPay),12750,Entertainment
Swiggy order via Cash (ICICI),6275,Food
Exam fee via Credit Card (SBI),8832,Education
Flipkart order via UPI (ICICI),3616,Shopping
IMPS transfer via Cash (GPay),4210,Transfer
Flight booking via Cash (Paytm),16494,Travel
Pharmacy bill via Net Banking (SBI),1741,Healthcare
Online certification via Net Banking (Kotak),2688,Education
Ajio shopping via Credit Card (Paytm),19337,Shopping
Electronics purchase via UPI (HDFC),6285,Shopping
Electricity bill via Net Banking (GPay),11105,Bills
Ajio shopping via Debit Card (SBI),16804,Shopping
FD investment via Debit Card (Paytm),10890,Investment
Crypto purchase via Cash (Kotak),18818,Investment
Clothing purchase via Cash (PhonePe),9908,Shopping
Exam fee via Debit Card (SBI),16993,Education
Theme park ticket via Cash (Kotak),1831,Entertainment
Internet recharge via Net Banking (Paytm),13410,Bills
Uber ride via UPI (GPay),14935,Travel
Bank transfer via Debit Card (SBI),1065,Transfer
Myntra order via Cash (HDFC),12091,Shopping
College fee via Debit Card (GPay),16327,Education
Train ticket via UPI (SBI),16991,Travel
Electronics purchase via Net Banking (PhonePe),19535,Shopping
Bakery purchase via Cash (Axis Bank),3447,Food
Myntra order via UPI (HDFC),3802,Shopping
YouTube Premium via UPI (PhonePe),16099,Entertainment
Spotify subscription via Net Banking (GPay),14963,Entertainment
YouTube Premium via Net Banking (Kotak),4540,Entertainment
Grocery shopping via UPI (Axis Bank),11112,Food
Grocery shopping via Credit Card (HDFC),3828,Food
Mutual fund purchase via UPI (SBI),9264,Investment
Game purchase via Net Banking (SBI),14101,Entertainment
Book purchase via Credit Card (SBI),11760,Education
Dominos order via Credit Card (ICICI),3276,Food
Supermarket shopping via Cash (Axis Bank),17933,Shopping
NEFT transfer via Credit Card (Paytm),4333,Transfer
Swiggy order via UPI (PhonePe),4036,Food
YouTube Premium via Cash (HDFC),16210,Entertainment
Pizza order via Cash (PhonePe),11349,Food
SIP investment via UPI (HDFC),7379,Investment
Doctor visit via Debit Card (PhonePe),13208,Healthcare
SIP investment via UPI (Axis Bank),9946,Investment
Stock investment via Credit Card (SBI),4289,Investment
Flight booking via Cash (ICICI),8718,Travel
Theme park ticket via Cash (Paytm),8589,Entertainment
Amazon shopping via Credit Card (GPay),11859,Shopping
Credit card bill via Debit Card (SBI),18774,Bills
Broadband bill via Cash (PhonePe),1661,Bills
RTGS transfer via Debit Card (PhonePe),1498,Transfer
Pharmacy bill via Credit Card (SBI),14971,Healthcare
Coaching class fee via Debit Card (Axis Bank),17314,Education
Stock investment via Debit Card (SBI),1443,Investment
Pharmacy bill via Cash (Kotak),14665,Healthcare
PPF deposit via UPI (SBI),917,Investment
Wallet transfer via Net Banking (PhonePe),15147,Transfer
Street food via Cash (GPay),16607,Food
UPI transfer via UPI (HDFC),4409,Transfer
Health insurance premium via Net Banking (SBI),1177,Healthcare
Wallet transfer via UPI (Kotak),1232,Transfer
Wallet transfer via Cash (GPay),8332,Transfer
Zomato food delivery via Net Banking (SBI),5877,Food
Flight booking via Debit Card (HDFC),5389,Travel
Electricity bill via Credit Card (Axis Bank),8040,Bills
Coaching class fee via Credit Card (SBI),19551,Education
Medical store purchase via UPI (Paytm),17630,Healthcare
Dominos order via Cash (Paytm),11360,Food
RTGS transfer via UPI (GPay),243,Transfer
Mobile recharge via Debit Card (HDFC),19110,Bills
Clothing purchase via Debit Card (Kotak),15421,Shopping
Clothing purchase via UPI (Axis Bank),10061,Shopping
Udemy course via UPI (PhonePe),16914,Education
Diesel refill via UPI (Paytm),16945,Travel
Electricity bill via Net Banking (HDFC),13498,Bills
College fee via Cash (PhonePe),17424,Education
Hospital checkup via UPI (SBI),6016,Healthcare
Auto fare via UPI (Kotak),7498,Travel
Stock investment via Credit Card (SBI),15727,Investment
Theme park ticket via Debit Card (PhonePe),9574,Entertainment
PPF deposit via Debit Card (Kotak),2892,Investment
Book purchase via Net Banking (ICICI),3236,Education
Petrol pump via Net Banking (Kotak),14039,Travel
Game purchase via Cash (HDFC),11361,Entertainment
Movie ticket via Debit Card (SBI),5035,Entertainment
Online certification via Net Banking (HDFC),18863,Education
Mutual fund purchase via Debit Card (ICICI),8442,Investment
Medical store purchase via UPI (Kotak),7867,Healthcare
Course fee via Debit Card (GPay),18262,Education
NEFT transfer via Net Banking (GPay),9792,Transfer
Book purchase via Debit Card (PhonePe),11332,Education
Credit card bill via Cash (GPay),6544,Bills
Mobile recharge via Cash (HDFC),6810,Bills
NEFT transfer via Credit Card (GPay),18428,Transfer
Uber ride via Cash (Axis Bank),18379,Travel
Rapido ride via UPI (Axis Bank),12682,Travel
Udemy course via UPI (Paytm),18336,Education
Pharmacy bill via Credit Card (ICICI),14201,Healthcare
Exam fee via Net Banking (PhonePe),15557,Education
Exam fee via Net Banking (GPay),16766,Education
SIP investment via UPI (HDFC),19801,Investment
SIP investment via UPI (Paytm),5785,Investment
Game purchase via Net Banking (Axis Bank),6084,Entertainment
Rapido ride via Net Banking (Kotak),18627,Travel
SIP investment via Net Banking (Axis Bank),12142,Investment
Bank transfer via Debit Card (Axis Bank),4732,Transfer
Electricity bill via Net Banking (ICICI),8908,Bills
Medical store purchase via Debit Card (PhonePe),18301,Healthcare
Pharmacy bill via Debit Card (ICICI),6205,Healthcare
Game purchase via UPI (HDFC),3368,Entertainment
NEFT transfer via Debit Card (SBI),15394,Transfer
Hospital checkup via Net Banking (Paytm),12196,Healthcare
Crypto purchase via Credit Card (ICICI),18551,Investment
Concert ticket via UPI (SBI),2401,Entertainment
Exam fee via Credit Card (Axis Bank),17467,Education
Mobile recharge via Net Banking (Kotak),8932,Bills
Crypto purchase via Debit Card (HDFC),8515,Investment
Exam fee via Cash (HDFC),16820,Education
Book purchase via Debit Card (SBI),10305,Education
RTGS transfer via Debit Card (Kotak),13695,Transfer
Exam fee via UPI (PhonePe),9625,Education
Street food via Net Banking (Paytm),8618,Food
Internet recharge via Net Banking (ICICI),3628,Bills
Flight booking via Debit Card (HDFC),5689,Travel
NEFT transfer via Credit Card (Axis Bank),13160,Transfer
Pharmacy bill via Cash (GPay),5828,Healthcare
Grocery shopping via UPI (GPay),4641,Food
Course fee via Net Banking (HDFC),11978,Education
Online certification via Debit Card (SBI),2835,Education
Bank transfer via Net Banking (PhonePe),16643,Transfer
Stock investment via Cash (GPay),11936,Investment
PPF deposit via Debit Card (Axis Bank),1581,Investment
Hospital checkup via Debit Card (HDFC),3251,Healthcare
Train ticket via Cash (SBI),18337,Travel
Wallet transfer via UPI (SBI),13653,Transfer
Hospital checkup via UPI (SBI),1236,Healthcare
Zomato food delivery via Cash (Paytm),14462,Food
Rapido ride via UPI (Paytm),4681,Travel
RTGS transfer via Net Banking (PhonePe),2753,Transfer
Broadband bill via Net Banking (SBI),16699,Bills
Mutual fund purchase via Credit Card (ICICI),9157,Investment
Coaching class fee via Debit Card (PhonePe),2404,Education
Electricity bill via Debit Card (Paytm),10836,Bills
Wallet transfer via Cash (SBI),5643,Transfer
DTH recharge via Net Banking (SBI),388,Bills
Train ticket via Net Banking (GPay),4284,Travel
NEFT transfer via Net Banking (ICICI),3612,Transfer
KFC meal via Debit Card (GPay),12676,Food
Pharmacy bill via Net Banking (Axis Bank),17747,Healthcare
Supermarket shopping via Net Banking (Axis Bank),15488,Shopping
Internet recharge via Credit Card (SBI),2567,Bills
DTH recharge via UPI (Paytm),18264,Bills
KFC meal via Debit Card (ICICI),15155,Food
Game purchase via UPI (Axis Bank),7922,Entertainment
IMPS transfer via Net Banking (GPay),844,Transfer
Book purchase via Credit Card (Paytm),17983,Education
Electronics purchase via Cash (GPay),10236,Shopping
Local market purchase via Debit Card (GPay),8394,Shopping
Grocery shopping via Debit Card (SBI),1169,Food
Spotify subscription via Net Banking (Kotak),1732,Entertainment
Netflix subscription via UPI (Paytm),3874,Entertainment
Crypto purchase via Cash (Kotak),11259,Investment
College fee via Net Banking (HDFC),19787,Education
Netflix subscription via Credit Card (Paytm),439,Entertainment
Ola cab via Net Banking (SBI),1228,Travel
Exam fee via Debit Card (SBI),9914,Education
Bank transfer via Credit Card (Paytm),11260,Transfer
PPF deposit via Credit Card (GPay),18692,Investment
Uber ride via Credit Card (Kotak),11411,Travel
Internet recharge via Credit Card (Axis Bank),5778,Bills
YouTube Premium via Debit Card (SBI),7399,Entertainment
NEFT transfer via Net Banking (Axis Bank),13390,Transfer
Health insurance premium via Cash (ICICI),1698,Healthcare
PPF deposit via Net Banking (ICICI),3585,Investment
Gas bill via Net Banking (HDFC),10995,Bills
Rapido ride via Credit Card (HDFC),4921,Travel
Electronics purchase via Credit Card (HDFC),10046,Shopping
Internet recharge via UPI (GPay),11805,Bills
Electricity bill via Net Banking (SBI),11203,Bills
Swiggy order via Credit Card (Paytm),2977,Food
Amazon shopping via Debit Card (Paytm),13455,Shopping
Wallet transfer via Net Banking (SBI),726,Transfer
Movie ticket via Debit Card (PhonePe),18811,Entertainment
Udemy course via Cash (Kotak),430,Education
Street food via Debit Card (PhonePe),2032,Food
Movie ticket via Credit Card (Kotak),11669,Entertainment
SIP investment via Debit Card (SBI),13420,Investment
SIP investment via Cash (Axis Bank),18366,Investment
Concert ticket via Credit Card (GPay),9253,Entertainment
Supermarket shopping via Credit Card (SBI),11806,Shopping
NEFT transfer via Credit Card (PhonePe),10687,Transfer
Exam fee via Credit Card (PhonePe),1676,Education
Water bill via Net Banking (PhonePe),19793,Bills
UPI transfer via UPI (PhonePe),19373,Transfer
Auto fare via Credit Card (Paytm),9800,Travel
Uber ride via Debit Card (HDFC),2873,Travel
Mutual fund purchase via UPI (ICICI),3837,Investment
Stock investment via Credit Card (Kotak),9675,Investment
College fee via Debit Card (GPay),279,Education
Credit card bill via Net Banking (ICICI),5868,Bills
YouTube Premium via Cash (GPay),10311,Entertainment
RTGS transfer via Debit Card (HDFC),16463,Transfer
Bank transfer via UPI (Axis Bank),6929,Transfer
Health insurance premium via UPI (Kotak),18048,Healthcare
Book purchase via Cash (HDFC),13496,Education
Concert ticket via Net Banking (SBI),13882,Entertainment
Internet recharge via Credit Card (Paytm),7219,Bills
Train ticket via Net Banking (PhonePe),16226,Travel
Pizza order via Debit Card (HDFC),13476,Food
Book purchase via UPI (Kotak),19587,Education
RTGS transfer via UPI (PhonePe),10077,Transfer
Clothing purchase via Debit Card (SBI),7193,Shopping
RTGS transfer via UPI (GPay),6667,Transfer
Stock investment via Credit Card (PhonePe),15511,Investment
Myntra order via Cash (PhonePe),11026,Shopping
NEFT transfer via UPI (SBI),15848,Transfer
Spotify subscription via UPI (Paytm),7769,Entertainment
Internet recharge via Cash (PhonePe),6614,Bills
Stock investment via Credit Card (ICICI),15523,Investment
Concert ticket via Net Banking (HDFC),1889,Entertainment
Petrol pump via Net Banking (Kotak),335,Travel
Pharmacy bill via Debit Card (PhonePe),16390,Healthcare
Local market purchase via Credit Card (PhonePe),732,Shopping
Spotify subscription via Debit Card (SBI),13561,Entertainment
Diesel refill via Credit Card (GPay),11198,Travel
UPI transfer via UPI (SBI),4500,Transfer
Flipkart order via Debit Card (Kotak),6919,Shopping
IMPS transfer via Cash (PhonePe),15483,Transfer
Medical store purchase via UPI (HDFC),13839,Healthcare
Hospital checkup via Credit Card (GPay),6524,Healthcare
Coaching class fee via Net Banking (GPay),3730,Education
Bank transfer via Net Banking (SBI),15647,Transfer
Diesel refill via UPI (HDFC),15230,Travel
Coaching class fee via Credit Card (Kotak),6496,Education
Online certification via Net Banking (ICICI),13061,Education
Wallet transfer via Cash (GPay),15273,Transfer
Exam fee via Net Banking (HDFC),4583,Education
Mutual fund purchase via Cash (GPay),822,Investment
Swiggy order via Net Banking (ICICI),8720,Food
Udemy course via UPI (Paytm),11915,Education
Electronics purchase via Credit Card (HDFC),1101,Shopping
Movie ticket via Net Banking (ICICI),10284,Entertainment
Cafe coffee via Credit Card (SBI),17357,Food
RTGS transfer via UPI (Paytm),11723,Transfer
Online certification via Debit Card (SBI),3185,Education
Health insurance premium via Debit Card (ICICI),11557,Healthcare
Electronics purchase via Cash (SBI),13708,Shopping
DTH recharge via Cash (Axis Bank),17736,Bills
Movie ticket via UPI (HDFC),5186,Entertainment
Mutual fund purchase via Debit Card (ICICI),294,Investment
Exam fee via UPI (GPay),4261,Education
Course fee via Cash (SBI),16958,Education
Pizza order via Cash (SBI),14955,Food
Flipkart order via Credit Card (ICICI),3908,Shopping
Diagnostic test via Debit Card (HDFC),10291,Healthcare
Electricity bill via UPI (Axis Bank),13326,Bills
Doctor visit via UPI (Kotak),15614,Healthcare
Flipkart order via UPI (SBI),12525,Shopping
Flight booking via Credit Card (Axis Bank),12843,Travel
NEFT transfer via Cash (Paytm),5035,Transfer
Wallet transfer via Cash (SBI),8886,Transfer
Credit card bill via Cash (ICICI),4151,Bills
Crypto purchase via Debit Card (Paytm),5793,Investment
Pizza order via Net Banking (GPay),3486,Food
Pizza order via Net Banking (Paytm),19263,Food
IMPS transfer via UPI (PhonePe),14383,Transfer
Concert ticket via Net Banking (Kotak),9151,Entertainment
Clothing purchase via UPI (GPay),3813,Shopping
Restaurant dinner via Net Banking (GPay),16197,Food
Grocery shopping via Cash (Paytm),7700,Food
Stock investment via Net Banking (HDFC),3032,Investment
UPI transfer via Net Banking (HDFC),9040,Transfer
Pharmacy bill via UPI (Paytm),7636,Healthcare
Udemy course via Debit Card (Kotak),1867,Education
Ajio shopping via Cash (GPay),18902,Shopping
Diesel refill via Credit Card (PhonePe),14527,Travel
Online certification via Cash (GPay),4027,Education
NEFT transfer via Cash (GPay),10526,Transfer
NEFT transfer via Cash (Paytm),11976,Transfer
Udemy course via UPI (GPay),9793,Education
Local market purchase via Credit Card (Axis Bank),16672,Shopping
Myntra order via Credit Card (PhonePe),16936,Shopping
Grocery shopping via Debit Card (ICICI),2236,Food
Local market purchase via Credit Card (PhonePe),9422,Shopping
Supermarket shopping via Debit Card (SBI),5770,Shopping
Train ticket via Cash (PhonePe),18657,Travel
SIP investment via Net Banking (Axis Bank),4468,Investment
Health insurance premium via UPI (ICICI),18730,Healthcare
Ajio shopping via UPI (Kotak),14735,Shopping
Udemy course via Cash (Kotak),16927,Education
Bus fare via Credit Card (PhonePe),3850,Travel
